2016-07-01 15:21:15,055 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.capgemini.devonfw.chirr:chirr:0.1-SNAPSHOT @ C:\Devon-dist_2.0.0_201606\workspaces\Holdthedoors\chirr\chirr_server\chirr\pom.xml.
2016-07-01 15:21:15,775 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.capgemini.devonfw.chirr:chirr-core:0.1-SNAPSHOT @ C:\Devon-dist_2.0.0_201606\workspaces\Holdthedoors\chirr\chirr_server\chirr\core\pom.xml.
2016-07-01 15:21:16,795 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.capgemini.devonfw.chirr:chirr-server:0.1-SNAPSHOT @ C:\Devon-dist_2.0.0_201606\workspaces\Holdthedoors\chirr\chirr_server\chirr\server\pom.xml.
2016-07-01 15:21:16,827 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.capgemini.devonfw:chirr:zip:web:1.0.0-SNAPSHOT is missing, no dependency information available
2016-07-01 15:21:18,099 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /chirr-core/src/main/java
2016-07-01 15:21:18,100 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /chirr-core/src/main/resources
2016-07-01 15:21:18,100 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /chirr-core/src/test/java
2016-07-01 15:21:18,101 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /chirr-core/src/test/resources
2016-07-01 15:21:20,332 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /chirr-server/src/main/java
2016-07-01 15:21:20,333 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /chirr-server/src/main/resources
2016-07-01 15:21:20,333 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /chirr-server/src/test/java
2016-07-01 15:21:23,268 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.capgemini.devonfw:chirr:zip:web:1.0.0-SNAPSHOT is missing, no dependency information available
2016-07-01 15:21:23,524 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 3 project(s) in 9 sec
2016-07-01 15:21:26,704 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - File encoding has not been set, using platform encoding Cp1252, i.e. build is platform dependent!
2016-07-01 15:21:26,712 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 15:21:26,720 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 17 resources
2016-07-01 15:21:26,805 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 15:21:26,806 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2016-07-01 15:21:28,168 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.capgemini.devonfw:chirr:zip:web:1.0.0-SNAPSHOT is missing, no dependency information available
2016-07-01 15:21:28,433 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 15:21:28,434 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-07-01 15:21:28,436 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Devon-dist_2.0.0_201606\workspaces\Holdthedoors\chirr\chirr_server\chirr\server\${js.client.dir}\dist
2016-07-01 15:21:28,438 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-01 15:21:28,438 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Devon-dist_2.0.0_201606\workspaces\Holdthedoors\chirr\chirr_server\chirr\server\src\test\resources
